flower_binary,fruit_binary,year,day_of_the_year,dbh_cm,height_m
,,2019,113,,6
,,2019,113,,15
,,2019,114,,
,,2019,114,,8
,,2019,114,,10
,,2019,114,,5
,,2019,114,,4
,,2019,114,,4
,,2019,114,,12
,,2019,114,,4
,,2019,114,,
,,2019,114,,4
,,2019,114,,5
,,2019,114,,
,,2019,114,,
,,2019,114,,5
,,2019,114,,6
,,2019,114,,10
,,2019,114,,
,,2019,115,,
,,2019,115,,
,,2019,115,,
,,2019,115,,
,,2019,115,,
,,2019,115,,
,,2019,115,,
,,2019,115,,
,,2019,115,,
,,2019,115,,
,,2019,115,,
,,2019,115,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,130,,
,,2019,140,,
,,2019,141,,
,,2019,141,,
,,2019,141,,
,,2019,141,,
,,2019,141,,
,,2019,141,,
,,2019,141,,
,,2019,141,,
,,2019,141,,
,,2019,141,,
,,2019,141,,
,,2019,141,,
,,2019,145,,
,,2019,149,,
,,2019,149,,
,,2019,149,,
,,2019,149,,
,,2019,149,,
,,2019,149,,
,,2019,149,,
,,2019,149,,
,,2019,149,,
,,2019,149,,
,,2019,156,,
,,2019,156,,
,,2019,162,,7
,,2019,162,,6
,,2019,185,,
,,2019,185,,
,,2019,185,,
,,2019,185,,
,,2019,185,,
,,2019,186,,
,,2019,207,,
,,2019,212,,8
,,2019,212,,10
,,2019,213,,
,,2019,213,,
,,2019,213,,8
,,2019,213,,
,,2019,214,,
,,2019,214,,
,,2019,225,,
,,2019,225,,7
,,2019,225,,8
,,2019,225,,5
,,2019,225,,
,,2019,225,,8
,,2019,225,,8
,,2019,225,,
,,2019,225,,8
,,2019,225,,5
,,2019,225,,
,,2019,226,,
,,2019,226,,
,,2019,241,,
,1,2019,241,,8
,,2019,260,,
,,2019,260,,10
,,2019,260,,15
,,2019,282,,
,,2019,297,,
,,2019,297,,4
,,2019,311,,
,,2019,315,,
,,2019,315,,10
,,2019,315,,7
,,2019,315,,9
,,2019,315,,12
,,2019,315,,7
,,2019,315,,7
,,2019,315,,13
,,2019,315,,10
,,2019,315,,10
,,2019,315,,12
,,2019,315,,11
,,2019,318,,
,,2019,318,,
,,2019,318,,
,,2019,318,,
,,2019,318,,
,,2019,319,,
,,2019,319,,
,,2019,319,,
,,2019,319,,
,,2019,319,,
,,2019,319,,
,,2019,319,,
,,2019,319,,
,,2019,319,,
,,2019,319,,
,,2019,319,,
,,2019,331,,
,,2019,331,,
,,2019,331,,
,,2019,331,,
,,2019,331,,
,,2019,331,,
,,2019,331,,
,,2019,331,,
,,2019,331,,
,,2019,331,,
,,2019,331,,
,,2019,331,,
,,2019,332,,
,,2019,332,,7
,,2019,332,,7
,,2019,332,,9
,,2019,332,,
,,2019,332,,4
,,2019,332,,11
,,2019,332,,15
,,2019,332,,15
,,2019,332,,7
,,2019,332,,4
,,2019,332,,
,,2019,332,,15
,,2019,332,,15
,,2019,332,,5
,,2019,333,,15
,,2019,333,,15
,,2019,333,,4
,,2019,333,,15
,,2019,333,,6
,,2019,333,,4
,,2019,333,,4
,,2019,337,,15
,,2019,337,,15
,,2019,337,,7
,,2019,337,,5
,,2019,337,,3.5
,,2019,337,,9
,,2019,337,,6
,,2019,337,,10
,,2019,338,,4
,,2019,338,,9
,,2019,338,,9
,,2019,338,,6
,,2019,338,,5
,,2020,64,,
,,2020,64,,4
,,2020,66,,
,,2020,66,,
,,2020,66,,15
,,2020,66,,12
,,2020,66,,7
,,2020,66,,15
,,2020,66,,7
,,2020,66,,10
,,2020,66,,18
,,2020,66,,13
,,2020,66,,15
,,2020,66,,8
,,2020,79,,
,,2020,79,,7
,,2020,79,,5
,,2020,79,,4
,,2020,79,,7
,,2020,79,,12
,,2020,79,,5
,,2020,87,,
,,2020,87,,11
,,2020,87,,8
,,2020,87,,13
,,2020,87,,22
,,2020,87,,9
,,2020,87,,9
,,2020,87,,5
,,2020,87,,11
,,2020,87,,13
,,2020,87,,16
,,2020,87,,12
,,2020,93,,
,,2020,112,,
,,2020,114,,
,,2020,114,,11
,,2020,114,,10
,,2020,114,,10
,,2020,114,,12
,,2020,114,,17
,,2020,114,,10
,,2020,120,,7
,,2020,120,,10
,,2020,120,,10
,,2020,120,,13
,,2020,120,,15
,,2020,120,,5
,,2020,132,,
,,2020,132,,
,,2020,132,,
,,2020,135,,8
,,2020,135,,15
,,2020,135,,14
,,2020,135,,12
,,2020,135,,7
,,2020,135,,12
,,2020,135,,11
,,2020,135,,11
,,2020,135,,10
,,2020,135,,9
,,2020,135,,10
,,2020,135,,10
,,2020,135,,7
,,2020,135,,18
,,2020,135,,9
,,2020,135,,12
,,2020,135,,13
,,2020,135,,4
,,2020,135,,11
,,2020,135,,12
,,2020,135,,9
,,2020,135,,14
,,2020,135,,7
,,2020,135,,15
,,2020,135,,12
,,2020,135,,15
,,2020,135,,10
,,2020,135,,11
,,2020,135,,11
,,2020,135,,10
,,2020,135,,14
,,2020,135,,10
,,2020,135,,15
,,2020,135,,7
,,2020,135,,12
,,2020,135,,7
,,2020,135,,17
,,2020,135,,15
,,2020,135,,
,,2020,135,,
,,2020,135,,8
,,2020,135,,12
,,2020,135,,10
,,2020,146,,5
,,2020,146,,10
,,2020,150,,13
,,2020,150,,10
,,2020,150,,12
,,2020,150,,8
,,2020,150,,17
,,2020,150,,11
,,2020,156,,12
1,,2020,156,,10
,,2020,156,,11
,,2020,156,,8
,,2020,156,,13
,,2020,156,,9
,,2020,156,,7
,,2020,156,,10
,,2020,156,,4
,,2020,156,,14
,,2020,156,,12
,,2020,156,,7
,,2020,156,,5
,,2020,156,,10
,,2020,156,,7
,,2020,156,,4
,,2020,156,,15
,,2020,156,,8
,,2020,156,,16
,,2020,156,,10
,,2020,156,,15
,,2020,156,,
,,2020,157,,6
,1,2020,157,,9
,,2020,157,,4
,,2020,157,,
,,2020,157,,4
,,2020,157,,11
,1,2020,157,,7
,,2020,157,,10
,,2020,157,,13
,,2020,157,,12
,,2020,162,,
,,2020,162,,
,,2020,162,,
,,2020,162,,
,,2020,162,,
,,2020,162,,
,,2020,162,,
,,2020,162,,
,,2020,162,,
,,2020,162,,
,,2020,162,,
,,2020,162,,
,,2020,162,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
,,2020,167,,
