persoonia_regen_height_m,max_tree_age_yrs
1.6,2.70684931506844
1.34,2.70684931506844
1.13,2.70684931506844
1.08,2.70684931506844
1.06,2.70684931506844
0.87,2.70684931506844
1.15,2.70684931506844
1.13,2.70684931506844
0.9,2.70684931506844
0.81,2.70684931506844
0.79,2.70684931506844
0.76,2.70684931506844
0.73,2.70684931506844
0.11,2.70684931506844
1.67,2.70684931506844
1.46,2.70684931506844
1.3,2.70684931506844
1.16,2.70684931506844
0.78,2.70684931506844
0.56,2.70684931506844
0.42,2.70684931506844
0.42,2.70684931506844
0.3,2.70684931506844
1.62,2.70684931506844
1.59,2.70684931506844
1.39,2.70684931506844
1.25,2.70684931506844
1.1,2.70684931506844
0.84,2.70684931506844
0.8,2.70684931506844
0.52,2.70684931506844
0.51,2.70684931506844
0.46,2.70684931506844
0.17,2.70684931506844
0.14,2.70684931506844
0.13,2.70684931506844
0.07,2.70684931506844
0.04,2.70684931506844
1.54,2.70684931506844
1.45,2.70684931506844
1.25,2.70684931506844
1.17,2.70684931506844
1.1,2.70684931506844
0.9,2.70684931506844
0.81,2.70684931506844
0.8,2.70684931506844
0.67,2.70684931506844
0.4,2.70684931506844
0.18,2.70684931506844
0.12,2.70684931506844
0.12,2.70684931506844
0.1,2.70684931506844
0.03,2.70684931506844
1.06,2.63835616438359
0.97,2.63835616438359
0.92,2.63835616438359
0.82,2.63835616438359
0.75,2.63835616438359
0.67,2.63835616438359
0.15,2.63835616438359
0.12,2.63835616438359
0.1,2.63835616438359
0.08,2.63835616438359
0.06,2.63835616438359
1.03,2.63835616438359
0.87,2.63835616438359
0.86,2.63835616438359
0.66,2.63835616438359
0.5,2.63835616438359
0.4,2.63835616438359
0.07,2.63835616438359
0.09,2.63835616438359
0.07,2.63835616438359
0.17,2.63835616438359
0.06,2.63835616438359
0.84,2.63835616438359
0.73,2.63835616438359
0.7,2.63835616438359
0.44,2.63835616438359
0.33,2.63835616438359
0.05,2.63835616438359
0.04,2.63835616438359
0.035,2.63835616438359
0.15,2.63835616438359
0.07,2.63835616438359
0.94,2.63835616438359
0.82,2.63835616438359
0.63,2.63835616438359
0.48,2.63835616438359
0.38,2.63835616438359
0.06,2.63835616438359
0.15,2.63835616438359
0.07,2.63835616438359
0.21,2.63835616438359
0.13,2.63835616438359
1.68,2.63835616438359
1.38,2.63835616438359
1.28,2.63835616438359
1.26,2.63835616438359
1.04,2.63835616438359
0.96,2.63835616438359
0.72,2.63835616438359
0.67,2.63835616438359
0.55,2.63835616438359
0.47,2.63835616438359
0.7,2.63835616438359
0.22,2.63835616438359
0.18,2.63835616438359
0.17,2.63835616438359
0.12,2.63835616438359
1.92,3.67671232876705
1.48,3.67671232876705
1.42,3.67671232876705
1.09,3.67671232876705
0.97,3.67671232876705
0.94,3.67671232876705
0.5,3.67671232876705
3.5,3.67671232876705
3.2,3.67671232876705
1.41,3.67671232876705
2.74,3.67671232876705
2.16,3.67671232876705
1.47,3.67671232876705
2.74,3.67671232876705
2.16,3.67671232876705
1.47,3.67671232876705
2.74,3.67671232876705
2.17,3.67671232876705
2.13,3.67671232876705
1.7,3.67671232876705
1.26,3.67671232876705
1.09,3.67671232876705
0.91,3.67671232876705
0.84,3.67671232876705
0.82,3.67671232876705
1.34,3.67671232876705
1.3,3.67671232876705
1.28,3.67671232876705
1.18,3.67671232876705
0.98,3.67671232876705
0.96,3.67671232876705
0.74,3.67671232876705
0.67,3.67671232876705
0.56,3.67671232876705
2.3,3.67671232876705
1.54,3.67671232876705
1.31,3.67671232876705
1.26,3.67671232876705
1.2,3.67671232876705
0.72,3.84657534246571
0.59,3.84657534246571
0.49,3.84657534246571
0.46,3.84657534246571
0.41,3.84657534246571
0.65,3.84657534246571
0.64,3.84657534246571
0.58,3.84657534246571
0.44,3.84657534246571
0.32,3.84657534246571
0.25,3.84657534246571
0.85,3.84657534246571
0.74,3.84657534246571
0.45,3.84657534246571
0.42,3.84657534246571
0.4,3.84657534246571
0.8,3.84657534246571
0.73,3.84657534246571
0.71,3.84657534246571
0.52,3.84657534246571
0.46,3.84657534246571
1.53,3.84657534246571
1.48,3.84657534246571
1.43,3.84657534246571
1.14,3.84657534246571
1.07,3.84657534246571
0.93,3.84657534246571
0.9,3.84657534246571
0.88,3.84657534246571
0.79,3.84657534246571
0.61,3.84657534246571
1.62,3.84657534246571
0.89,3.84657534246571
0.47,3.84657534246571
1.87,3.84657534246571
1.58,3.84657534246571
0.54,3.84657534246571
0.65,3.84657534246571
2.63,3.59726027397255
2.52,3.59726027397255
1.94,3.59726027397255
0.91,3.59726027397255
2.06,3.59726027397255
1.61,3.59726027397255
1.05,3.59726027397255
1.66,3.59726027397255
1.59,3.59726027397255
1.8,3.59726027397255
1.61,3.59726027397255
1.43,3.59726027397255
1.32,3.59726027397255
1.06,3.59726027397255
2.88,3.59726027397255
1.48,3.59726027397255
1.04,3.59726027397255
1.65,3.59726027397255
1.48,3.59726027397255
1.37,3.59726027397255
